"district_id","party_id","votes","registered","voted","voted_noon","voted_5pm","main_list","special_list","invalid_ballots","vote_share","turnout_pct","noon_pct","five_pct","invalid_pct"
"17","christian_democrats_2014",0,37308,16279,4898,11340,37148,160,678,0,0.436341,0.131286,0.303956,0.041649
"17","freedom_zviads_way_2014",0,37308,16279,4898,11340,37148,160,678,0,0.436341,0.131286,0.303956,0.041649
"17","future_georgia_2014",0,37308,16279,4898,11340,37148,160,678,0,0.436341,0.131286,0.303956,0.041649
"17","gd",7243,37308,16279,4898,11340,37148,160,678,0.465638,0.436341,0.131286,0.303956,0.041649
"17","georgian_party_2014",0,37308,16279,4898,11340,37148,160,678,0,0.436341,0.131286,0.303956,0.041649
"17","georgias_way_2014",93,37308,16279,4898,11340,37148,160,678,0.005979,0.436341,0.131286,0.303956,0.041649
"17","greens_2014",88,37308,16279,4898,11340,37148,160,678,0.005657,0.436341,0.131286,0.303956,0.041649
"17","kostava_society",4,37308,16279,4898,11340,37148,160,678,0.000257,0.436341,0.131286,0.303956,0.041649
"17","labour",778,37308,16279,4898,11340,37148,160,678,0.050016,0.436341,0.131286,0.303956,0.041649
"17","nonparliamentary_opposition_2014",184,37308,16279,4898,11340,37148,160,678,0.011829,0.436341,0.131286,0.303956,0.041649
"17","our_georgia_2014",0,37308,16279,4898,11340,37148,160,678,0,0.436341,0.131286,0.303956,0.041649
"17","patriots",277,37308,16279,4898,11340,37148,160,678,0.017808,0.436341,0.131286,0.303956,0.041649
"17","peoples_movement_2014",0,37308,16279,4898,11340,37148,160,678,0,0.436341,0.131286,0.303956,0.041649
"17","peoples_party_2014",0,37308,16279,4898,11340,37148,160,678,0,0.436341,0.131286,0.303956,0.041649
"17","reformers_2014",0,37308,16279,4898,11340,37148,160,678,0,0.436341,0.131286,0.303956,0.041649
"17","sakhalkho_party_2014",0,37308,16279,4898,11340,37148,160,678,0,0.436341,0.131286,0.303956,0.041649
"17","self_governance_people_2014",5,37308,16279,4898,11340,37148,160,678,0.000321,0.436341,0.131286,0.303956,0.041649
"17","ufali_2014",0,37308,16279,4898,11340,37148,160,678,0,0.436341,0.131286,0.303956,0.041649
"17","unity_hall_2014",0,37308,16279,4898,11340,37148,160,678,0,0.436341,0.131286,0.303956,0.041649
"17","unm",3820,37308,16279,4898,11340,37148,160,678,0.24558,0.436341,0.131286,0.303956,0.041649
"17","veterans_patriots_2014",1,37308,16279,4898,11340,37148,160,678,6.4e-05,0.436341,0.131286,0.303956,0.041649
"17","workers_council_2014",0,37308,16279,4898,11340,37148,160,678,0,0.436341,0.131286,0.303956,0.041649
"171","burjanadze_united_opposition_2014",1079,18946,7880,2455,5752,18764,182,314,0.142649,0.415919,0.129579,0.3036,0.039848
"171","christian_democrats_2014",0,18946,7880,2455,5752,18764,182,314,0,0.415919,0.129579,0.3036,0.039848
"171","freedom_zviads_way_2014",0,18946,7880,2455,5752,18764,182,314,0,0.415919,0.129579,0.3036,0.039848
"171","future_georgia_2014",0,18946,7880,2455,5752,18764,182,314,0,0.415919,0.129579,0.3036,0.039848
"171","gd",3157,18946,7880,2455,5752,18764,182,314,0.417372,0.415919,0.129579,0.3036,0.039848
"171","georgian_party_2014",0,18946,7880,2455,5752,18764,182,314,0,0.415919,0.129579,0.3036,0.039848
"171","georgias_way_2014",0,18946,7880,2455,5752,18764,182,314,0,0.415919,0.129579,0.3036,0.039848
"171","greens_2014",283,18946,7880,2455,5752,18764,182,314,0.037414,0.415919,0.129579,0.3036,0.039848
