precinct_id,district_id,vote_type,district_name_en,precinct_number,registered,voted,turnout_pct,voted_noon,voted_5pm,main_list,special_list,noon_pct,five_pct,invalid_ballots,invalid_pct
4020,4,pr,Krtsanisi,20,1451,784,0.540317,240,635,1409,42,0.165403,0.437629,13,0.016582
4021,4,pr,Krtsanisi,21,1092,588,0.538462,218,476,1069,23,0.199634,0.435897,3,0.005102
4022,4,pr,Krtsanisi,22,1221,651,0.53317,231,515,1171,50,0.189189,0.421785,11,0.016897
4023,4,pr,Krtsanisi,23,1395,772,0.553405,202,608,1373,84,0.144803,0.435842,8,0.010363
4024,4,pr,Krtsanisi,24,1366,564,0.412884,130,436,1344,22,0.095168,0.31918,12,0.021277
4025,4,pr,Krtsanisi,25,1328,564,0.424699,200,470,1294,42,0.150602,0.353916,12,0.021277
4026,4,pr,Krtsanisi,26,1388,692,0.498559,246,583,1348,40,0.177233,0.420029,11,0.015896
4027,4,pr,Krtsanisi,27,1461,715,0.489391,208,598,1410,51,0.142368,0.409309,12,0.016783
4028,4,pr,Krtsanisi,28,1452,738,0.508264,265,585,1538,49,0.182507,0.402893,7,0.009485
4029,4,pr,Krtsanisi,29,711,388,0.54571,150,300,686,25,0.21097,0.421941,22,0.056701
4030,4,pr,Krtsanisi,30,1516,554,0.365435,230,485,1494,22,0.151715,0.319921,15,0.027076
4031,4,pr,Krtsanisi,31,634,634,1,220,552,1371,41,0.347003,0.870662,65,0.102524
4032,4,pr,Krtsanisi,32,1400,347,0.247857,67,279,1354,46,0.047857,0.199286,19,0.054755
4033,4,pr,Krtsanisi,33,837,411,0.491039,84,365,811,26,0.100358,0.436081,6,0.014599
4034,4,pr,Krtsanisi,34,1197,849,0.709273,131,446,1082,286,0.10944,0.372598,49,0.057715
4035,4,pr,Krtsanisi,35,155,106,0.683871,26,95,120,35,0.167742,0.612903,5,0.04717
4036,4,pr,Krtsanisi,36,1252,808,0.645367,160,641,1215,37,0.127796,0.511981,9,0.011139
4037,4,pr,Krtsanisi,37,788,537,0.681472,156,482,723,65,0.19797,0.611675,12,0.022346
4038,4,pr,Krtsanisi,38,1014,719,0.709073,184,594,945,69,0.18146,0.585799,11,0.015299
4039,4,pr,Krtsanisi,39,388,73,0.188144,20,68,375,13,0.051546,0.175258,0,0
4047,4,pr,Krtsanisi,47,696,402,0.577586,112,360,406,289,0.16092,0.517241,4,0.00995
4048,4,pr,Krtsanisi,48,821,681,0.829476,200,650,764,57,0.243605,0.791717,19,0.0279
5001,5,pr,Isani,1,1322,504,0.381241,134,445,1279,61,0.101362,0.336611,11,0.021825
5002,5,pr,Isani,2,1351,611,0.452258,170,574,1301,68,0.125833,0.42487,16,0.026187
5003,5,pr,Isani,3,1456,596,0.409341,130,505,1414,42,0.089286,0.346841,6,0.010067
5004,5,pr,Isani,4,1463,582,0.397813,120,505,1425,38,0.082023,0.345181,11,0.0189
5005,5,pr,Isani,5,1540,717,0.465584,184,628,1486,64,0.119481,0.407792,10,0.013947
5006,5,pr,Isani,6,1348,613,0.454748,168,556,1344,80,0.124629,0.412463,9,0.014682
5007,5,pr,Isani,7,1500,702,0.468,200,600,1472,44,0.133333,0.4,14,0.019943
5008,5,pr,Isani,8,1522,756,0.496715,221,668,1486,48,0.145204,0.438896,8,0.010582
5009,5,pr,Isani,9,1508,747,0.495358,194,580,1448,76,0.128647,0.384615,3,0.004016
5010,5,pr,Isani,10,1499,796,0.531021,204,648,1457,50,0.136091,0.432288,10,0.012563
5011,5,pr,Isani,11,1525,812,0.532459,227,690,1475,64,0.148852,0.452459,5,0.006158
5012,5,pr,Isani,12,1503,670,0.445775,210,572,1455,58,0.139721,0.380572,1,0.001493
5013,5,pr,Isani,13,1511,772,0.51092,205,680,1477,48,0.135672,0.450033,8,0.010363
5014,5,pr,Isani,14,989,495,0.500506,169,473,954,41,0.17088,0.478261,5,0.010101
5015,5,pr,Isani,15,1486,662,0.445491,195,635,1458,44,0.131225,0.427322,16,0.024169
5016,5,pr,Isani,16,1389,691,0.49748,196,592,1415,63,0.141109,0.426206,6,0.008683
5017,5,pr,Isani,17,1445,694,0.480277,183,570,1460,55,0.126644,0.394464,0,0
5018,5,pr,Isani,18,1450,764,0.526897,223,620,1434,72,0.153793,0.427586,14,0.018325
5019,5,pr,Isani,19,1474,778,0.527815,229,642,1433,61,0.15536,0.43555,6,0.007712
5020,5,pr,Isani,20,1342,557,0.415052,165,488,1329,55,0.122951,0.363636,5,0.008977
5021,5,pr,Isani,21,1494,589,0.394244,156,524,1472,76,0.104418,0.350736,4,0.006791
5022,5,pr,Isani,22,1499,780,0.520347,169,605,1449,76,0.112742,0.403602,13,0.016667
5023,5,pr,Isani,23,1473,634,0.430414,174,546,1450,95,0.118126,0.370672,10,0.015773
5024,5,pr,Isani,24,1394,799,0.573171,214,655,1374,90,0.153515,0.469871,2,0.002503
5025,5,pr,Isani,25,1451,686,0.472777,190,561,1466,65,0.130944,0.38663,10,0.014577
5026,5,pr,Isani,26,1487,726,0.488231,236,635,1426,67,0.158709,0.427034,7,0.009642
5027,5,pr,Isani,27,1441,759,0.526718,200,650,1390,73,0.138793,0.451076,8,0.01054
5028,5,pr,Isani,28,1520,721,0.474342,235,639,1476,116,0.154605,0.420395,6,0.008322
5029,5,pr,Isani,29,1456,696,0.478022,200,588,1425,103,0.137363,0.403846,12,0.017241
5030,5,pr,Isani,30,1446,684,0.473029,207,590,1464,62,0.143154,0.408022,6,0.008772
5031,5,pr,Isani,31,1854,944,0.509169,213,659,1794,371,0.114887,0.355448,15,0.01589
5032,5,pr,Isani,32,1584,670,0.42298,196,598,1477,151,0.123737,0.377525,10,0.014925
5033,5,pr,Isani,33,1490,661,0.443624,206,573,1479,109,0.138255,0.384564,4,0.006051
5034,5,pr,Isani,34,1470,739,0.502721,200,561,1463,71,0.136054,0.381633,7,0.009472
