"major_id","electoral_district_id","selfgov_id","majoritarian_district","party_code","party_id","party_label_ka","name_ka","first_name","last_name"
614,6,1,14,"16","future_party_2010","“მომავლის პარტია”","ნინო ნაკვეთაური","ნინო","ნაკვეთაური"
614,6,1,14,"21","tortladze_democratic_2010","“თორთლაძე – დემოკრატიული პარტია”","ბადრი ინაშვილი","ბადრი","ინაშვილი"
614,6,1,14,"25","ivanishvili_peoples_democrats_2010","ივანიშვილი – “სახალხო დემოკრატები”","მაია ივანიშვილი","მაია","ივანიშვილი"
715,7,1,15,"2","alliance_georgia_2010","“ალიანსი საქართველოსთვის” (ი. ალასანია, ს. სუბარი, დ. უსუფაშვილი, დ. გამყრელიძე, ს. ზურაბიშვილი)","ვიქტორ დოლიძე","ვიქტორ","დოლიძე"
715,7,1,15,"3","industry_sakartvelo","თოფაძე-მრეწველები","თეიმურაზ ბაბუნაშვილი","თეიმურაზ","ბაბუნაშვილი"
715,7,1,15,"5","unm","“ერთიანი ნაციონალური მოძრაობა”","ალექსანდრე ნიკოლაიშვილი","ალექსანდრე","ნიკოლაიშვილი"
715,7,1,15,"7","national_council_2010","“ეროვნული საბჭო”","ბიძინა გუჯაბიძე","ბიძინა","გუჯაბიძე"
715,7,1,15,"8","radical_democrats_2008","სრულიად საქართველოს რადიკალ-დემოკრატთა ნაციონალური პარტია","მამუკა გაგნიძე","მამუკა","გაგნიძე"
715,7,1,15,"10","christian_democrats_2010","“გიორგი თარგამაძე, ინგა გრიგოლია – ქრისტიან-დემოკრატიული გაერთიანება”","ვალერიან შალიკაშვილი","ვალერიან","შალიკაშვილი"
715,7,1,15,"15","freedom_2010","პოლიტიკური მოძრაობა “თავისუფლება”","ვლადიმერ შამუგია","ვლადიმერ","შამუგია"
715,7,1,15,"16","future_party_2010","“მომავლის პარტია”","ნანა ფილაური","ნანა","ფილაური"
715,7,1,15,"18","solidarity_2010","პოლიტიკური მოძრაობა “სოლიდარობა”","აკაკი მანჯავიძე","აკაკი","მანჯავიძე"
715,7,1,15,"21","tortladze_democratic_2010","“თორთლაძე – დემოკრატიული პარტია”","ზაზა თორთლაძე","ზაზა","თორთლაძე"
715,7,1,15,"25","ivanishvili_peoples_democrats_2010","ივანიშვილი – “სახალხო დემოკრატები”","გიორგი შერვაშიძე","გიორგი","შერვაშიძე"
816,8,1,16,"3","industry_sakartvelo","თოფაძე-მრეწველები","თამარ ჭკუასელი","თამარ","ჭკუასელი"
816,8,1,16,"5","unm","“ერთიანი ნაციონალური მოძრაობა”","გიორგი ჩაჩანიძე","გიორგი","ჩაჩანიძე"
816,8,1,16,"7","national_council_2010","“ეროვნული საბჭო”","კობა დავითაშვილი","კობა","დავითაშვილი"
816,8,1,16,"10","christian_democrats_2010","“გიორგი თარგამაძე, ინგა გრიგოლია – ქრისტიან-დემოკრატიული გაერთიანება”","ლევან ჯაფარიძე","ლევან","ჯაფარიძე"
816,8,1,16,"15","freedom_2010","პოლიტიკური მოძრაობა “თავისუფლება”","პაატა ბარათაშვილი","პაატა","ბარათაშვილი"
816,8,1,16,"21","tortladze_democratic_2010","“თორთლაძე – დემოკრატიული პარტია”","სოსო ლიპარტელიანი","სოსო","ლიპარტელიანი"
816,8,1,16,"25","ivanishvili_peoples_democrats_2010","ივანიშვილი – “სახალხო დემოკრატები”","დავით კოღუაშვილი","დავით","კოღუაშვილი"
817,8,1,17,"2","alliance_georgia_2010","“ალიანსი საქართველოსთვის” (ი. ალასანია, ს. სუბარი, დ. უსუფაშვილი, დ. გამყრელიძე, ს. ზურაბიშვილი)","მანანა ნაჭყებია","მანანა","ნაჭყებია"
817,8,1,17,"3","industry_sakartvelo","თოფაძე-მრეწველები","მაია თურქაძე","მაია","თურქაძე"
817,8,1,17,"5","unm","“ერთიანი ნაციონალური მოძრაობა”","ირაკლი დვალი","ირაკლი","დვალი"
